year,party,nn,newdate,pop_2,perc
1991,Democratic,4,1991-04-01,47773,0.08372930316287443
1991,Democratic,6,1991-02-16,47773,0.12559395474431165
1991,Democratic,10,1991-08-01,47773,0.20932325790718606
1991,Democratic,5,1991-01-16,47773,0.10466162895359303
1991,Democratic,7,1991-12-01,47773,0.14652628053503025
1991,Democratic,3,1991-07-16,47773,0.06279697737215582
1991,Democratic,5,1991-02-01,47773,0.10466162895359303
1991,Democratic,3,1991-06-16,47773,0.06279697737215582
1991,Democratic,5,1991-01-01,47773,0.10466162895359303
1991,Democratic,4,1991-03-16,47773,0.08372930316287443
1991,Democratic,6,1991-07-01,47773,0.12559395474431165
1991,Democratic,9,1991-05-16,47773,0.18839093211646746
1991,Democratic,3,1991-06-01,47773,0.06279697737215582
1991,Democratic,8,1991-11-16,47773,0.16745860632574885
1991,Democratic,4,1991-03-01,47773,0.08372930316287443
1991,Democratic,5,1991-10-16,47773,0.10466162895359303
1991,Democratic,6,1991-05-01,47773,0.12559395474431165
1991,Democratic,12,1991-09-16,47773,0.2511879094886233
1991,Democratic,15,1991-11-01,47773,0.3139848868607791
1991,Democratic,5,1991-04-17,47773,0.10466162895359303
1991,Democratic,5,1991-10-01,47773,0.10466162895359303
1991,Democratic,8,1991-08-17,47773,0.16745860632574885
1991,Democratic,9,1991-09-01,47773,0.18839093211646746
1991,Democratic,5,1991-12-17,47773,0.10466162895359303
1991,Democratic,10,1991-04-02,47773,0.20932325790718606
1991,Democratic,5,1991-02-17,47773,0.10466162895359303
1991,Democratic,11,1991-08-02,47773,0.23025558369790466
1991,Democratic,3,1991-01-17,47773,0.06279697737215582
1991,Democratic,6,1991-12-02,47773,0.12559395474431165
1991,Democratic,7,1991-07-17,47773,0.14652628053503025
1991,Democratic,5,1991-02-02,47773,0.10466162895359303
1991,Democratic,4,1991-06-17,47773,0.08372930316287443
1991,Democratic,4,1991-01-02,47773,0.08372930316287443
1991,Democratic,3,1991-03-17,47773,0.06279697737215582
1991,Democratic,7,1991-07-02,47773,0.14652628053503025
1991,Democratic,6,1991-05-17,47773,0.12559395474431165
1991,Democratic,6,1991-06-02,47773,0.12559395474431165
1991,Democratic,4,1991-11-17,47773,0.08372930316287443
1991,Democratic,4,1991-03-02,47773,0.08372930316287443
1991,Democratic,7,1991-10-17,47773,0.14652628053503025
1991,Democratic,6,1991-05-02,47773,0.12559395474431165
1991,Democratic,6,1991-09-17,47773,0.12559395474431165
1991,Democratic,9,1991-11-02,47773,0.18839093211646746
1991,Democratic,4,1991-04-18,47773,0.08372930316287443
1991,Democratic,7,1991-10-02,47773,0.14652628053503025
1991,Democratic,10,1991-08-18,47773,0.20932325790718606
1991,Democratic,11,1991-09-02,47773,0.23025558369790466
1991,Democratic,1,1991-12-18,47773,0.020932325790718607
1991,Democratic,3,1991-04-03,47773,0.06279697737215582
