date,year,event_type,perm_perc,event_descr,perc
1991-01-12,1991,Event,0.4,US Congress authorizes the use of force to liberate Kuwait,0.004928803434390233
1991-01-12,1991,Event,0.4,US Congress authorizes the use of force to liberate Kuwait,0.10466162895359303
1991-01-16,1991,Event,0.4,US leads international coalition “Desert Storm” to drive Iraqis out of Kuwait,0.06900324808146327
1991-01-16,1991,Event,0.4,US leads international coalition “Desert Storm” to drive Iraqis out of Kuwait,0.10466162895359303
1991-02-14,1991,Holiday,0.4,Valentine's Day,0.020932325790718607
1991-02-14,1991,Holiday,0.4,Valentine's Day,0.03943042747512186
1991-07-31,1991,Event,0.4,US and Soviet Union sign START I treaty to reduce strategic nuclear arms,0.12559395474431165
1991-07-31,1991,Event,0.4,US and Soviet Union sign START I treaty to reduce strategic nuclear arms,0.034501624040731635
1991-10-31,1991,Holiday,0.4,Halloween,0.08378965838463397
1991-10-31,1991,Holiday,0.4,Halloween,0.3558495384422163
1991-11-28,1991,Holiday,0.4,Thanksgiving,0.041864651581437214
1991-11-28,1991,Holiday,0.4,Thanksgiving,0.0443592309095121
1991-12-31,1991,Holiday,0.4,Christmas,0.14652628053503025
1991-12-31,1991,Holiday,0.4,Christmas,0.034501624040731635
1992-02-01,1992,Event,0.4,President Bush and Russian president Boris Yeltsin meet and declare an end to the cold war,0.05602554764972827
1992-02-01,1992,Event,0.4,President Bush and Russian president Boris Yeltsin meet and declare an end to the cold war,0.03872666718302223
1992-02-14,1992,Holiday,0.4,Valentine's Day,0.05163555624402964
1992-02-14,1992,Holiday,0.4,Valentine's Day,0.05042299288475545
1992-04-29,1992,Event,0.4,Riots in Los Angeles county after the acquittal of four white police officers charged in the beating of black motorist Rodney King,0.03872666718302223
1992-04-29,1992,Event,0.4,Riots in Los Angeles county after the acquittal of four white police officers charged in the beating of black motorist Rodney King,0.1008459857695109
1992-10-31,1992,Holiday,0.4,Halloween,0.1848843072441033
1992-10-31,1992,Holiday,0.4,Halloween,0.02581777812201482
1992-11-03,1992,Event,0.4,Democratic candidate Bill Clinton wins Presidential Election,0.06723065717967393
1992-11-03,1992,Event,0.4,Democratic candidate Bill Clinton wins Presidential Election,0.05163555624402964
1992-11-26,1992,Holiday,0.4,Thanksgiving,0.01290888906100741
1992-11-26,1992,Holiday,0.4,Thanksgiving,0.05602554764972827
1992-12-04,1992,Event,0.4,President Bush authorizes sending US troops to Somalia as part of UN relief effort,0.05163555624402964
1992-12-04,1992,Event,0.4,President Bush authorizes sending US troops to Somalia as part of UN relief effort,0.05602554764972827
1992-12-31,1992,Holiday,0.4,Christmas,0.02581777812201482
1992-12-31,1992,Holiday,0.4,Christmas,0.06723065717967393
1993-01-20,1993,Event,0.4,Bill Clinton is inaugurated as the 42nd president,0.06109312258057349
1993-01-20,1993,Event,0.4,Bill Clinton is inaugurated as the 42nd president,0.038153861806712534
1993-02-14,1993,Holiday,0.4,Valentine's Day,0.038153861806712534
1993-02-14,1993,Holiday,0.4,Valentine's Day,0.08886272375356145
1993-02-26,1993,Event,0.4,Bomb explodes in basement garage of World Trade Center,0.05087181574228338
1993-02-26,1993,Event,0.4,Bomb explodes in basement garage of World Trade Center,0.08330880351896386
1993-05-05,1993,Event,0.4,The Supreme Court of Hawaii : Baehr v Miike trial to determine if limiting marriage to different-sex couples is unconstitutional,0.10552448445735423
1993-05-05,1993,Event,0.4,The Supreme Court of Hawaii : Baehr v Miike trial to determine if limiting marriage to different-sex couples is unconstitutional,0.02543590787114169
1993-06-26,1993,Event,0.4,President Clinton orders missile attack against Iraq in retaliation for alleged plot to assassinate former President Bush,0.07775488328436626
1993-06-26,1993,Event,0.4,President Clinton orders missile attack against Iraq in retaliation for alleged plot to assassinate former President Bush,0.012717953935570845
1993-10-03,1993,Event,0.4,Eighteen US soldiers are killed in ambush by Somali militiamen in Mogadishu,0.038153861806712534
1993-10-03,1993,Event,0.4,Eighteen US soldiers are killed in ambush by Somali militiamen in Mogadishu,0.1277401653957446
1993-10-31,1993,Holiday,0.4,Halloween,0.038153861806712534
1993-10-31,1993,Holiday,0.4,Halloween,0.09997056422275663
1993-11-25,1993,Holiday,0.4,Thanksgiving,0.05553920234597591
1993-11-25,1993,Holiday,0.4,Thanksgiving,0.012717953935570845
1993-12-08,1993,Event,0.4,President Clinton signs North American Free Trade Agreement into law,0.08330880351896386
1993-12-08,1993,Event,0.4,President Clinton signs North American Free Trade Agreement into law,0.05087181574228338
1993-12-31,1993,Holiday,0.4,Christmas,0.038153861806712534
1993-12-31,1993,Holiday,0.4,Christmas,0.033323521407585543
1994-02-14,1994,Holiday,0.4,Valentine's Day,0.07193010606924102
1994-02-14,1994,Holiday,0.4,Valentine's Day,0.02491311550966006
1994-05-06,1994,Event,0.4,"Paula Jones, a former Arkansas state employee, files a federal lawsuit against President Clinton for sexual harassment",0.10512861656273689
1994-05-06,1994,Event,0.4,"Paula Jones, a former Arkansas state employee, files a federal lawsuit against President Clinton for sexual harassment",0.07473934652898018
1994-06-12,1994,Event,0.4,"High profile OJ Simpson murder case Simpson is later acquitted on October 3, 1995",0.02491311550966006
1994-06-12,1994,Event,0.4,"High profile OJ Simpson murder case Simpson is later acquitted on October 3, 1995",0.06086393590474241
1994-09-13,1994,Event,0.4,"President Bill Clinton signs the Assault Weapons Ban, which bars the use of these weapons for ten years",0.09959553148048758
1994-09-13,1994,Event,0.4,"President Bill Clinton signs the Assault Weapons Ban, which bars the use of these weapons for ten years",0.02491311550966006
1994-10-31,1994,Holiday,0.4,Halloween,0.07473934652898018
1994-10-31,1994,Holiday,0.4,Halloween,0.17705872263197792
1994-11-24,1994,Holiday,0.4,Thanksgiving,0.01245655775483003
1994-11-24,1994,Holiday,0.4,Thanksgiving,0.03319851049349586
1994-12-31,1994,Holiday,0.4,Christmas,0.01245655775483003
1994-12-31,1994,Holiday,0.4,Christmas,0.03873159557574517
1995-02-14,1995,Holiday,0.4,Valentine's Day,0.024936101240571037
1995-02-14,1995,Holiday,0.4,Valentine's Day,0.07651234854653864
1995-04-19,1995,Event,0.4,Bombing of federal office building in Oklahoma City kills 168 people,0.12569885832645633
1995-04-19,1995,Event,0.4,Bombing of federal office building in Oklahoma City kills 168 people,0.024936101240571037
1995-06-11,1995,Event,0.4,US establishes full diplomatic relations with Vietnam,0.024936101240571037
1995-06-11,1995,Event,0.4,US establishes full diplomatic relations with Vietnam,0.08744268405318702
1995-10-31,1995,Holiday,0.4,Halloween,0.049872202481142075
1995-10-31,1995,Holiday,0.4,Halloween,0.21314154237964333
1995-11-23,1995,Holiday,0.4,Thanksgiving,0.024936101240571037
1995-11-23,1995,Holiday,0.4,Thanksgiving,0.04372134202659351
1995-12-01,1995,Event,0.4,US troops sent to Bosnia for 12-month peacekeeping mission,0.012468050620285519
1995-12-01,1995,Event,0.4,US troops sent to Bosnia for 12-month peacekeeping mission,0.08197751629986283
1995-12-16,1995,Event,0.4,Budget standoff between President Clinton and Congress results in partial shutdown of US government,0.07651234854653864
1995-12-16,1995,Event,0.4,Budget standoff between President Clinton and Congress results in partial shutdown of US government,0.037404151860856556
1995-12-31,1995,Holiday,0.4,Christmas,0.03825617427326932
1996-02-14,1996,Holiday,0.4,Valentine's Day,0.013377210584049015
1996-02-14,1996,Holiday,0.4,Valentine's Day,0.12570183524679462
1996-09-21,1996,Event,0.4,"President Bill Clinton signs into law the Defense of Marriage Act (DOMA), denying federal recognition of same-sex marriages",0.04013163175214704
