year,city,region,n,pop
1991,Boston,Northeast,139,575767
1991,Chicago,Midwest,145,2794955
1991,Cincinnati,Midwest,37,360769
1991,Dallas,South,94,1025050
1991,Denver,West,40,476309
1991,Eugene,West,23,115195
1991,Keansburg,Northeast,2,11038
1991,Las Vegas Metropolitan Police Department,West,16,280308
1991,Minneapolis,Midwest,78,369802
1991,New York,Northeast,482,7391139
1991,Philadelphia,Northeast,123,1578777
1991,Phoenix,West,48,1017169
1991,Pittsburgh,Northeast,76,366351
1991,Portland,West,195,446501
1991,Seattle,West,74,520966
1991,St. Louis,Midwest,92,391839
1991,Tulsa,South,91,369874
1991,Washington,South,6,603415
1992,Boston,Northeast,228,577253
1992,Chicago,Midwest,202,2806184
1992,Cincinnati,Midwest,9,357493
1992,Dallas,South,86,1043220
1992,Denver,West,43,485012
1992,Eugene,West,36,117717
1992,Grand Rapids,Midwest,5,190864
1992,Houston,South,23,1695167
1992,Keansburg,Northeast,1,11004
1992,Las Vegas Metropolitan Police Department,West,21,302322
1992,Lincoln,Northeast,1,198693
1992,Mesa,West,3,309751
1992,Milwaukee,Midwest,16,621862
1992,New York,Northeast,583,7459710
1992,Phoenix,West,115,1050933
1992,Portland,Northeast,10,455681
1992,Portland,West,233,455681
1992,San Francisco,West,65,734517
1992,Seattle,West,106,525678
1992,St. Louis,Midwest,111,386989
1992,Taylor,Midwest,10,69820
1992,Tulsa,South,126,372449
1992,Washington,South,14,599931
1993,Boston,Northeast,230,578739
1993,Chicago,Midwest,217,2817413
1993,Cleveland,Midwest,37,497450
1993,Columbus,Midwest,142,656478
1993,Dallas,South,59,1061390
1993,Denver,West,45,493715
1993,Detroit,Midwest,2,1004960
1993,Eugene,West,31,120239
1993,Flint,Midwest,7,136017
1993,Grand Rapids,Midwest,20,191731
1993,Houston,South,25,1727475
1993,Kansas City,Midwest,1,437065
1993,Las Vegas Metropolitan Police Department,West,12,324336
1993,Lincoln,Northeast,4,202054
1993,Mesa,West,6,320579
1993,Milwaukee,Midwest,2,618751
1993,New York,Northeast,470,7528281
1993,Philadelphia,Northeast,202,1565171
1993,Phoenix,West,125,1084697
1993,Pittsburgh,Northeast,71,359287
1993,Portland,Northeast,24,464861
1993,Portland,West,140,464861
1993,San Francisco,West,289,739794
1993,San Jose,West,25,816053
1993,Seattle,West,125,530390
1993,St. Louis,Midwest,80,382139
1993,Taylor,Midwest,7,69326
1993,Tulsa,South,32,375024
1993,Washington,Northeast,1,596447
1993,Washington,South,10,596447
1994,Chicago,Midwest,216,2828642
1994,Cincinnati,Midwest,27,350941
1994,Cleveland,Midwest,51,494729
1994,Cleveland,South,3,494729
1994,Columbus,Midwest,159,664334
1994,Columbus,South,1,664334
1994,Dallas,South,41,1079560
1994,Denver,West,22,502418
1994,Detroit,Midwest,14,997290
1994,Eugene,West,22,122761
1994,Flint,Midwest,1,134435
1994,Grand Rapids,Midwest,21,192598
1994,Houston,South,51,1759783
1994,Kansas City,Midwest,29,437705
1994,Las Vegas Metropolitan Police Department,West,1,346350
1994,Mesa,West,9,331407
1994,Milwaukee,Midwest,3,615640
